first_name,image_urls,images,jurisdiction,last_name,path
Eva,https://www.ow.ch/de/images/imim_5f5f789a5363c.jpg,"[{'url': 'https://www.ow.ch/de/images/imim_5f5f789a5363c.jpg', 'path': 'full/7688389ff12c73565a8c3d408fcace95b2da1d1f.jpg', 'checksum': '4275137698cbf4fe9045e907eccdc79f', 'status': 'uptodate'}]",Sachseln,Morger,files/politicans/ow/EvaMorger_imim_5f5f789a5363c.jpg
Peter,https://www.ow.ch/de/images/imim_5dd406c6a1bb0.jpg,"[{'url': 'https://www.ow.ch/de/images/imim_5dd406c6a1bb0.jpg', 'path': 'full/115eb05ee5cde5341e279aff7b2c1546f3c8fe6a.jpg', 'checksum': 'a7beb9e4431235b72d6cedeaafa87695', 'status': 'uptodate'}]",Sarnen,Lötscher,files/politicans/ow/PeterLötscher_imim_5dd406c6a1bb0.jpg
Petra,https://www.ow.ch/de/images/imim_5f96c5eb73aa3.jpg,"[{'url': 'https://www.ow.ch/de/images/imim_5f96c5eb73aa3.jpg', 'path': 'full/c85a35a3690e9bdf8cf04b252037f2ddd94567ca.jpg', 'checksum': 'd032f03f5d06a0bba66ec52aa5dcf1e1', 'status': 'uptodate'}]",Sachseln,Rohrer,files/politicans/ow/PetraRohrer_imim_5f96c5eb73aa3.jpg
Max,https://www.ow.ch/de/images/imim_5fd781a7ef82e.jpg,"[{'url': 'https://www.ow.ch/de/images/imim_5fd781a7ef82e.jpg', 'path': 'full/2100bbcf06592405d5b57af3d70723d33d7a9888.jpg', 'checksum': '2eb00124dae28d737011c44a88032e05', 'status': 'uptodate'}]",Sarnen,Rötheli,files/politicans/ow/MaxRötheli_imim_5fd781a7ef82e.jpg
Thomas,https://www.ow.ch/de/images/imim_5fd781a8d848f.jpg,"[{'url': 'https://www.ow.ch/de/images/imim_5fd781a8d848f.jpg', 'path': 'full/b5a4bb2ca859d6b8c996dd1da02e7c95a4f9fdd5.jpg', 'checksum': '05afda1affa82ea040086aa3a54b3934', 'status': 'uptodate'}]",Kerns,Michel,files/politicans/ow/ThomasMichel_imim_5fd781a8d848f.jpg
Hanspeter,https://www.ow.ch/de/images/imim_6000708f0d2f1.jpg,"[{'url': 'https://www.ow.ch/de/images/imim_6000708f0d2f1.jpg', 'path': 'full/9d0f47a1ae4afe580eb33167e0ea2fd5a9ede367.jpg', 'checksum': 'd010865941f71dc2a295af002931e77f', 'status': 'uptodate'}]",Kerns,Scheuber,files/politicans/ow/HanspeterScheuber_imim_6000708f0d2f1.jpg
Annemarie,https://www.ow.ch/de/images/imim_5efdedeae5e10.jpg,"[{'url': 'https://www.ow.ch/de/images/imim_5efdedeae5e10.jpg', 'path': 'full/8b59cc33c44ebcc5f1ecaad017c99bd8f6b2f384.jpg', 'checksum': '50c71b58acaa5758da768a7dcfbf1c98', 'status': 'uptodate'}]",Sachseln,Schnider,files/politicans/ow/AnnemarieSchnider_imim_5efdedeae5e10.jpg
Vreni,https://www.ow.ch/de/images/imim_5f06b3947b65e.jpg,"[{'url': 'https://www.ow.ch/de/images/imim_5f06b3947b65e.jpg', 'path': 'full/17fa1556039f81c9170cdc2f95b7db6f468aa9b8.jpg', 'checksum': 'ee7044a17193e5805528515e6dea9eb9', 'status': 'uptodate'}]",Sarnen,Kiser,files/politicans/ow/VreniKiser_imim_5f06b3947b65e.jpg
Helen,https://www.ow.ch/de/images/imim_5f96c5eae4f71.jpg,"[{'url': 'https://www.ow.ch/de/images/imim_5f96c5eae4f71.jpg', 'path': 'full/88d0fcf5638b7f56f824a9ae4dcc4a5774bf40f0.jpg', 'checksum': '806bc7d335bde4ecd330ce75dc885664', 'status': 'uptodate'}]",Sarnen,Keiser,files/politicans/ow/HelenKeiser_imim_5f96c5eae4f71.jpg
Sonnie,https://www.ow.ch/de/images/imim_5fca57c251e5a.jpg,"[{'url': 'https://www.ow.ch/de/images/imim_5fca57c251e5a.jpg', 'path': 'full/e38dd939dbb5376e8011e8ee3a9bb1206ea2b60e.jpg', 'checksum': 'e1b514e4c8a21c24289e6a0f8d1d64de', 'status': 'uptodate'}]",Kerns,Burch,files/politicans/ow/SonnieBurch_imim_5fca57c251e5a.jpg
Guido,https://www.ow.ch/de/images/imim_5fd781a822da2.jpg,"[{'url': 'https://www.ow.ch/de/images/imim_5fd781a822da2.jpg', 'path': 'full/7313ece607d2e4e9572f05540fd5d13bee5bbeb2.jpg', 'checksum': '30e1a2fb1c69501d1a8ff979d06966b7', 'status': 'uptodate'}]",Sarnen,Cotter,files/politicans/ow/GuidoCotter_imim_5fd781a822da2.jpg
Daniel,https://www.ow.ch/de/images/imim_5f3e9168ca407.jpg,"[{'url': 'https://www.ow.ch/de/images/imim_5f3e9168ca407.jpg', 'path': 'full/35843023006458d2346894962005dd87d9085184.jpg', 'checksum': '7d91668af254201cc5bb982a00b7606b', 'status': 'uptodate'}]",Kerns,Blättler,files/politicans/ow/DanielBlättler_imim_5f3e9168ca407.jpg
Gregor,https://www.ow.ch/de/images/imim_5fca57c232a96.jpg,"[{'url': 'https://www.ow.ch/de/images/imim_5fca57c232a96.jpg', 'path': 'full/cabbff7779406da62f275ae5ad47b77d76cf6d54.jpg', 'checksum': 'c96184f8f966a2160924e5671ed31ff9', 'status': 'uptodate'}]",Sarnen,Jaggi,files/politicans/ow/GregorJaggi_imim_5fca57c232a96.jpg
Mike,https://www.ow.ch/de/images/imim_5f62006929522.jpg,"[{'url': 'https://www.ow.ch/de/images/imim_5f62006929522.jpg', 'path': 'full/61d5be08b577e27e7712e536e610596beadadb0d.jpg', 'checksum': 'b8c6183236b8bd1c80fa16f1aa0bd1b8', 'status': 'uptodate'}]",Engelberg,Bacher,files/politicans/ow/MikeBacher_imim_5f62006929522.jpg
Branko,https://www.ow.ch/de/images/imim_5f620068bddcb.jpg,"[{'url': 'https://www.ow.ch/de/images/imim_5f620068bddcb.jpg', 'path': 'full/5c67209ce170af1f6c62a450970d666e47f8818f.jpg', 'checksum': 'bf832ecbeedfc39c61f0da5d64753c9c', 'status': 'uptodate'}]",Sarnen,Balaban,files/politicans/ow/BrankoBalaban_imim_5f620068bddcb.jpg
Marcel,https://www.ow.ch/de/images/imim_5fe2e304115a4.jpg,"[{'url': 'https://www.ow.ch/de/images/imim_5fe2e304115a4.jpg', 'path': 'full/f58ec237323325190138edf1668c34994cca8743.jpg', 'checksum': '7a828069d843e37ace441277a8d42e7f', 'status': 'uptodate'}]",Alpnach,Jöri,files/politicans/ow/MarcelJöri_imim_5fe2e304115a4.jpg
Ambros,https://www.ow.ch/de/images/imim_5f06b393001f5.jpg,"[{'url': 'https://www.ow.ch/de/images/imim_5f06b393001f5.jpg', 'path': 'full/2e2e381b04e048557bb586f80ef3d6834a236946.jpg', 'checksum': '9744836d2b76abd52a3ae3339a07177a', 'status': 'uptodate'}]",Giswil,Albert,files/politicans/ow/AmbrosAlbert_imim_5f06b393001f5.jpg
Roland,https://www.ow.ch/de/images/imim_5f620067f3a88.jpg,"[{'url': 'https://www.ow.ch/de/images/imim_5f620067f3a88.jpg', 'path': 'full/5f070bd0086a33483de0d123aa669b90d45004b1.jpg', 'checksum': 'b4808a32b99db49c9ee78d627c404ba4', 'status': 'uptodate'}]",Sachseln,Kurz,files/politicans/ow/RolandKurz_imim_5f620067f3a88.jpg
Cornelia,https://www.ow.ch/de/images/imim_5fd781a939445.jpg,"[{'url': 'https://www.ow.ch/de/images/imim_5fd781a939445.jpg', 'path': 'full/8ca49f7ef57766a42cd636bd5805865d45d16393.jpg', 'checksum': '9ef0ed78c70dd00ca6f0e8839c6da902', 'status': 'uptodate'}]",Engelberg,Kaufmann,files/politicans/ow/CorneliaKaufmann_imim_5fd781a939445.jpg
Josef,https://www.ow.ch/de/images/imim_5f06b39678a58.jpg,"[{'url': 'https://www.ow.ch/de/images/imim_5f06b39678a58.jpg', 'path': 'full/d877ae4d8db3a9ff9ea0798945b0a27df40e8e76.jpg', 'checksum': 'df83934fef9f35780833e69530cfe0f2', 'status': 'uptodate'}]",Kerns,Allenbach,files/politicans/ow/JosefAllenbach_imim_5f06b39678a58.jpg
Kantonsrätin,https://www.ow.ch/de/images/imim_5f06b39737e0b.jpg,"[{'url': 'https://www.ow.ch/de/images/imim_5f06b39737e0b.jpg', 'path': 'full/90a77adc5de92115b1242c46148535054acb2bc6.jpg', 'checksum': 'c72e7c4f56d7201bbf0e282902ec28e6', 'status': 'uptodate'}]",Sarnen,Trudi,files/politicans/ow/KantonsrätinTrudi_imim_5f06b39737e0b.jpg
Ruth,https://www.ow.ch/de/images/imim_5f06b396a94d7.jpg,"[{'url': 'https://www.ow.ch/de/images/imim_5f06b396a94d7.jpg', 'path': 'full/f80f2f017662c54b30336aec06f452d92fde87d7.jpg', 'checksum': 'ccc9e33fdc32d7348686a3839f2b4e2c', 'status': 'uptodate'}]",Alpnach,Albert,files/politicans/ow/RuthAlbert_imim_5f06b396a94d7.jpg
